Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
,,,,,,,223,98.62288499,96.53089841,100.7050583,33.86414445,5.9489148
,,,,,,,224,105.3335725,105.4298235,103.332434,35.0452285,6.156395855
,,,,,,,225,108.8470662,107.0388542,104.3203272,35.0772362,6.162018648
,,,,,,,226,107.2228234,110.2842802,103.6417136,35.09324005,6.164830044
,,,,,,,227,109.9099479,110.2924895,103.2603688,35.37490779,6.214310621
,,,,,,,228,108.8128716,108.7956531,103.2994041,34.73155306,6.101292485
,,,,,,,229,106.5246839,105.0467209,103.4495398,33.67529903,5.915740322
,,,,,,,230,105.4390058,101.5632241,102.2964973,32.22855108,5.661590087
,,,,,,,231,105.102759,101.0159348,100.9873135,32.24135416,5.663839204
,,,,,,,232,103.8347098,101.3525177,100.4348139,33.08315662,5.811718655
,,,,,,,233,105.9091813,102.7316869,99.19469258,35.43892319,6.225556207
,,,,,,,234,104.6382826,102.5702366,99.13163556,41.68042429,7.322000806
,,,,,,,235,110.5824414,107.9528275,101.8641063,42.05811513,7.388349761
,,,,,,,236,113.3920966,107.6353996,104.4224195,40.55055255,7.123516219
,,,,,,,237,108.3227492,101.8368688,101.1314438,38.91495919,6.836191507
,,,,,,,238,103.9942845,97.16849052,97.62727531,35.22447161,6.187883495
,,,,,,,239,102.9570488,91.87072945,95.03292948,33.06075123,5.8077827
,,,,,,,240,99.44925415,88.30787568,91.36661437,32.91671659,5.782480133
,,,,,,,241,90.92340405,84.67113784,88.41494545,32.08131567,5.63572524
,,,,,,,242,94.22033205,83.27281351,90.31866681,31.71002637,5.570500844
,,,,,,,243,92.56474418,83.4944657,89.51093646,31.22350937,5.485034393
,,,,,,,244,92.10026772,83.07305289,89.97635729,31.3579417,5.508650123
,,,,,,,245,91.50186247,84.41664829,92.54968411,31.85726179,5.59636569
,,,,,,,246,93.87838619,90.12761282,95.96377116,33.21438818,5.834772106
,,,,,,,247,98.27524003,98.77204836,101.0173406,33.51846131,5.888188638
,,,,,,,248,104.1738061,108.3304571,103.0321624,34.80837154,6.114787188
,,,,,,,249,106.8438334,110.8042051,102.6868502,34.92039848,6.134466963
,,,,,,,250,104.8320519,113.6665285,101.5308049,34.88198924,6.127719612
,,,,,,,251,107.7528394,113.8854442,100.687042,35.20846776,6.185072098
,,,,,,,252,106.9521162,111.6743952,101.1104248,34.47869225,6.056872422
,,,,,,,253,104.5983889,108.4344421,99.65410799,33.40963514,5.869071142
,,,,,,,254,103.5754009,105.7992438,98.60015499,32.02690258,5.626166492
,,,,,,,255,102.8687127,105.2109078,99.95137678,32.04290643,5.628977889
,,,,,,,256,101.4496374,106.9102412,95.39625801,32.86870504,5.774045943
,,,,,,,257,103.8062143,106.2151837,97.6843269,35.12844852,6.171015116
,,,,,,,258,101.919813,102.0557846,96.30608068,41.29953269,7.255089571
,,,,,,,259,107.6730521,104.3653457,99.28777675,41.6580189,7.318064851
,,,,,,,260,109.1662157,104.1573757,103.1012249,40.10244478,7.04479712
,,,,,,,261,104.0313287,98.18644874,101.7500031,38.49245757,6.761970641
,,,,,,,262,100.0134648,94.4676175,98.89141836,34.89479232,6.129968729
,,,,,,,263,99.11870649,91.224928,93.49553936,32.75347733,5.753803889
,,,,,,,264,95.77618571,88.26135608,90.10247133,32.60624192,5.727939042
,,,,,,,265,91.22260668,85.11717868,87.22587028,31.56599173,5.545198276
,,,,,,,266,86.03357826,83.68601698,85.8145942,30.88422777,5.425432789
,,,,,,,267,83.54877168,83.65865251,86.9105852,30.6057608,5.376514491
,,,,,,,268,80.80465616,83.25639483,86.5922974,30.98025086,5.442301167
,,,,,,,269,78.37684056,84.7094481,89.420855,31.79644716,5.585682384
,,,,,,,270,75.17109812,90.54081629,92.21938546,32.85270119,5.771234547
,,,,,,,271,84.99064339,99.29197326,95.69953223,32.92951967,5.78472925
,,,,,,,272,93.74445739,108.7655522,99.32681204,33.02554276,5.801597628
,,,,,,,273,101.9027157,111.4335878,102.278481,33.24319511,5.839832619
,,,,,,,274,101.9825031,114.3807411,99.99942022,32.88150812,5.776295061
,,,,,,,275,103.0710307,114.5722924,100.06548,33.10876278,5.81621689
,,,,,,,276,100.2727738,112.3201966,101.8400846,32.68946193,5.742558304
,,,,,,,277,98.81095521,109.266322,99.12262742,32.10052029,5.639098916
,,,,,,,278,97.64833929,106.614705,99.94537135,30.23127073,5.310727815
,,,,,,,279,98.91068942,105.892283,98.79833419,29.71914756,5.22076313
,,,,,,,280,98.16125808,107.6080352,96.97868885,31.71322714,5.571063123
,,,,,,,281,99.40081182,106.8746674,99.35383648,34.53630611,6.066993449
,,,,,,,282,101.2672663,102.934184,95.43829602,40.7361972,7.156128418
,,,,,,,283,107.6787512,105.1835433,98.61216585,41.32513884,7.259587806
,,,,,,,284,117.267483,104.7320296,99.35083376,40.23047557,7.067288291
,,,,,,,285,113.5858659,98.75836613,99.56702925,37.833099,6.646141109
,,,,,,,286,108.6988897,95.0285891,91.4326741,34.39227146,6.041690882
,,,,,,,287,107.6502557,91.81600052,93.18926242,32.02050105,5.625041934
,,,,,,,288,104.0997178,88.53773721,90.46880256,31.37394555,5.511461519
,,,,,,,289,94.64491482,85.53038215,82.28940669,32.76307964,5.755490727
,,,,,,,290,96.81912058,84.08553822,84.85072266,32.35018033,5.6829567
,,,,,,,291,94.94981655,84.07459243,89.15061065,31.9404818,5.610984952
,,,,,,,292,94.04366002,83.66412541,87.5081255,32.01409951,5.623917375
,,,,,,,293,93.10045936,85.12538802,90.07544689,32.54222652,5.716693457
,,,,,,,294,94.50243738,90.98959357,92.01520083,33.89615215,5.954537593
,,,,,,,295,99.83679279,99.81189816,97.34201738,34.27704375,6.021448827
,,,,,,,296,106.3394632,109.3785163,101.8701117,35.32049471,6.204751873
,,,,,,,297,110.1721064,112.0985444,100.5669334,35.246877,6.19181945
,,,,,,,298,108.5193681,115.0456977,102.0082366,35.246877,6.19181945
,,,,,,,299,111.405961,115.231776,100.5248954,35.60856399,6.255357009
,,,,,,,300,110.294637,112.9140056,99.44091522,34.99721696,6.147961666
,,,,,,,301,108.0634403,109.8929683,101.4617425,34.01458063,5.975341926
,,,,,,,302,107.0404522,107.2249326,101.6479108,32.54862806,5.717818015
,,,,,,,303,106.5902235,106.4997742,97.59724816,32.47501036,5.704885592
,,,,,,,304,105.2708824,108.2100535,102.2334402,33.24639588,5.840394899
,,,,,,,305,107.49638,107.4876315,103.6867543,35.65657553,6.263791198
,,,,,,,306,106.1542425,103.5061014,100.8251669,42.00050127,7.378228734
,,,,,,,307,112.2038347,105.7609336,103.6657353,42.39739673,7.447951365
,,,,,,,308,115.0419853,105.2793189,106.9747273,40.83542106,7.173559076
,,,,,,,309,109.9213461,99.27829103,104.7527182,39.27664617,6.899729065
,,,,,,,310,105.6555715,95.53483176,99.20069801,35.57015475,6.248609657
,,,,,,,311,104.604088,92.32497963,96.00881188,33.45764668,5.877505331
,,,,,,,312,101.1817798,89.00293318,93.25532216,33.3072105,5.851078205
,,,,,,,313,96.80487284,86.45530118,87.47809835,32.63824962,5.733561835
,,,,,,,314,99.06456506,84.98309278,89.56198261,32.23175185,5.662152366
,,,,,,,315,97.10122592,84.93383674,85.67346659,31.82525409,5.590742898
,,,,,,,316,96.172273,84.51516037,88.08164408,31.89887179,5.603675321
,,,,,,,317,95.26611647,86.04483415,91.71492932,32.42699881,5.696451403
,,,,,,,318,96.73363412,92.05680784,94.04203351,33.77772366,5.933733259
,,,,,,,319,101.8970166,101.0186712,101.0743922,34.17461912,6.00345589
,,,,,,,320,108.2629087,110.7467397,100.317708,35.20846776,6.185072098
,,,,,,,321,112.397604,113.6227453,101.4437262,35.1412516,6.173264233
,,,,,,,322,110.5368486,116.6410462,102.1043235,35.13805083,6.172701954
,,,,,,,323,113.5630695,116.7860778,101.8611036,35.4901355,6.234552675
,,,,,,,324,112.3577103,114.4135784,103.4435344,34.89159155,6.129406449
,,,,,,,325,110.1578587,111.3788589,102.1613751,33.90575446,5.956224431
,,,,,,,326,109.1320211,108.6807223,102.1853968,32.45260497,5.700949637
,,,,,,,327,108.6532969,107.925463,99.22772245,32.37578649,5.687454934
,,,,,,,328,107.2370711,109.652161,100.2516483,33.12476662,5.819028286
,,,,,,,329,109.681984,108.9078474,99.08659484,35.53814705,6.242986864
,,,,,,,330,108.2743069,104.7621305,99.30879575,41.88847433,7.358548959
,,,,,,,331,114.5604116,107.1729401,100.0714854,42.28216901,7.427709311
,,,,,,,332,117.4897478,106.6283872,102.6718366,40.72659489,7.15444158
,,,,,,,333,112.3548608,100.4850641,102.8670131,39.18382385,6.883422966
