juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
Oregon,2018,,,,5976,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1895,,,,https://afdc.energy.gov/stations/states,,,
Oregon,2019,,,,,,,,,1895,,,,https://afdc.energy.gov/stations/states,,,
Pennsylvania,2016,,,,2998,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1533,,,,https://afdc.energy.gov/stations/states,,,
Pennsylvania,2017,,,,3346,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1533,,,,https://afdc.energy.gov/stations/states,,,
Pennsylvania,2018,,,,6063,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1533,,,,https://afdc.energy.gov/stations/states,,,
Pennsylvania,2019,,,,,,,,,1533,,,,https://afdc.energy.gov/stations/states,,,
Rhode Island,2016,,,,299,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,407,,,,https://afdc.energy.gov/stations/states,,,
Rhode Island,2017,,,,433,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,407,,,,https://afdc.energy.gov/stations/states,,,
Rhode Island,2018,,,,619,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,407,,,,https://afdc.energy.gov/stations/states,,,
Rhode Island,2019,,,,,,,,,407,,,,https://afdc.energy.gov/stations/states,,,
South Carolina,2016,,,,469,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,652,,,,https://afdc.energy.gov/stations/states,,,
South Carolina,2017,,,,562,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,652,,,,https://afdc.energy.gov/stations/states,,,
South Carolina,2018,,,,1170,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,652,,,,https://afdc.energy.gov/stations/states,,,
South Carolina,2019,,,,,,,,,652,,,,https://afdc.energy.gov/stations/states,,,
South Dakota,2016,,,,37,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,127,,,,https://afdc.energy.gov/stations/states,,,
South Dakota,2017,,,,79,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,127,,,,https://afdc.energy.gov/stations/states,,,
South Dakota,2018,,,,135,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,127,,,,https://afdc.energy.gov/stations/states,,,
South Dakota,2019,,,,,,,,,127,,,,https://afdc.energy.gov/stations/states,,,
Sweden,2014,7000,,,,IEA 2019,,,,1000,100,,,IEA 2019,IEA 2019,,
Sweden,2015,16000,,,,IEA 2019,,,,2000,300,,,IEA 2019,IEA 2019,,
Sweden,2016,29000,,,,IEA 2019,,,,2000,400,,,IEA 2019,IEA 2019,,
Sweden,2017,50000,,,,IEA 2019,,,,4000,600,,,IEA 2019,IEA 2019,,
Sweden,2018,79000,,,,IEA 2019,,,,7000,1000,,,IEA 2019,IEA 2019,,
Tennessee,2016,,,,855,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1214,,,,https://afdc.energy.gov/stations/states,,,
Tennessee,2017,,,,791,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1214,,,,https://afdc.energy.gov/stations/states,,,
Tennessee,2018,,,,1994,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1214,,,,https://afdc.energy.gov/stations/states,,,
Tennessee,2019,,,,,,,,,1214,,,,https://afdc.energy.gov/stations/states,,,
Texas,2016,,,,4510,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4045,,,,https://afdc.energy.gov/stations/states,,,
Texas,2017,,,,5419,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4045,,,,https://afdc.energy.gov/stations/states,,,
Texas,2018,,,,11764,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,4045,,,,https://afdc.energy.gov/stations/states,,,
Texas,2019,,,,,,,,,4045,,,,https://afdc.energy.gov/stations/states,,,
UK,2014,24000,,,,IEA 2019,,,,8000,600,,,IEA 2019,IEA 2019,,
UK,2015,49000,,,,IEA 2019,,,,9000,1100,,,IEA 2019,IEA 2019,,
UK,2016,86000,,,,IEA 2019,,,,13000,1800,,,IEA 2019,IEA 2019,,
UK,2017,164000,,,,IEA 2019,,,,15000,2200,,,IEA 2019,IEA 2019,,
UK,2018,184000,,,,IEA 2019,,,,17000,2700,,,IEA 2019,IEA 2019,,
USA,2014,290000,180000,100000,,IEA 2019,https://www.eei.org/issuesandpolicy/electrictransportation/Documents/EV_%20Sales%20Facts%20and%20Figures.pdf,Li 2019,,23000,700,,,IEA 2019,IEA 2019,,
